Timestep,Susceptible,Infected,Recovered,Deceased,Reproduction
0,99.9,0.1,0.0,0.0,0.0
1,99.9,0.1,0.0,0.0,0.0
2,99.9,0.1,0.0,0.0,0.0
3,99.9,0.1,0.0,0.0,0.0
4,99.9,0.1,0.0,0.0,0.0
5,99.9,0.1,0.0,0.0,0.0
6,99.9,0.1,0.0,0.0,0.0
7,99.89,0.11,0.0,0.0,0.2
8,99.89,0.11,0.0,0.0,0.0
9,99.88,0.12,0.0,0.0,0.0
10,99.88,0.12,0.0,0.0,0.0
11,99.81,0.18,0.01,0.0,0.9
12,99.77,0.21,0.02,0.0,0.3
13,99.71,0.27,0.02,0.0,0.4
14,99.67,0.3,0.03,0.0,0.233333
15,99.64,0.31,0.05,0.0,0.25
16,99.59,0.36,0.05,0.0,0.6
17,99.57,0.36,0.07,0.0,0.3
18,99.5,0.41,0.09,0.0,0.9
19,99.48,0.42,0.1,0.0,0.2
20,99.4,0.49,0.11,0.0,0.3
21,99.38,0.51,0.11,0.0,0.3
22,99.34,0.55,0.11,0.0,0.0
23,99.3,0.56,0.14,0.0,0.5
24,99.26,0.57,0.17,0.0,0.4
25,99.21,0.6,0.19,0.0,0.266667
26,99.14,0.63,0.23,0.0,0.3
27,99.01,0.72,0.27,0.0,0.666667
28,98.91,0.78,0.31,0.0,0.666667
29,98.81,0.82,0.37,0.0,0.933333
30,98.71,0.91,0.38,0.0,0.7
31,98.63,0.95,0.42,0.0,0.6
32,98.52,1.0,0.48,0.0,0.54
33,98.3,1.18,0.52,0.0,0.685
34,98.2,1.24,0.56,0.0,0.633333
35,98.07,1.32,0.61,0.0,0.675
36,97.87,1.48,0.65,0.0,0.95
37,97.71,1.59,0.69,0.001557,0.285714
38,97.54,1.67,0.78,0.001557,0.441667
39,97.34,1.83,0.82,0.001557,0.542857
40,97.16,1.97,0.86,0.001557,0.532143
41,96.95,2.09,0.95,0.001557,0.593333
42,96.76,2.2,1.03,0.001557,0.758333
43,96.56,2.32,1.11,0.001557,0.525
44,96.29,2.49,1.21,0.001557,0.597778
45,95.98,2.68,1.33,0.001557,1.5
46,95.64,2.89,1.46,0.001557,0.713636
47,95.43,2.96,1.6,0.001557,0.83
48,95.11,3.09,1.79,0.001557,0.556923
49,94.77,3.29,1.93,0.001557,0.634615
50,94.38,3.55,2.06,0.001557,0.556667
51,94.1,3.64,2.24,0.003114,0.491111
52,93.8,3.72,2.46,0.003114,0.773333
53,93.55,3.8,2.63,0.003114,0.503175
54,93.22,3.94,2.82,0.003114,0.638889
55,92.92,4.1,2.95,0.004671,0.56
56,92.61,4.15,3.21,0.004671,0.61
57,92.24,4.25,3.46,0.007785,0.597727
58,91.96,4.29,3.7,0.007785,0.55
59,91.66,4.27,4.02,0.007785,0.61
60,91.43,4.21,4.31,0.007785,0.508929
61,91.14,4.25,4.56,0.007785,0.655
62,90.91,4.24,4.8,0.007785,0.71
63,90.55,4.34,5.05,0.009342,0.6
64,90.35,4.2,5.39,0.009342,0.766667
65,90.15,4.01,5.78,0.009342,0.555556
66,89.82,4.1,6.02,0.009342,0.593056
67,89.61,4.02,6.29,0.012456,0.55
68,89.37,3.98,6.55,0.01557,0.6
69,89.14,3.87,6.89,0.01557,0.585714
70,88.89,3.83,7.18,0.01557,0.597143
71,88.57,3.85,7.48,0.01557,0.612698
72,88.4,3.77,7.73,0.01557,0.86
73,88.18,3.73,7.99,0.01557,0.56
74,87.99,3.63,8.28,0.01557,0.516667
75,87.78,3.58,8.54,0.01557,0.495833
76,87.57,3.43,8.89,0.017127,0.478571
77,87.34,3.39,9.14,0.020241,0.623333
78,87.21,3.29,9.36,0.021798,0.65
79,87.1,3.08,9.68,0.021798,0.55
80,86.94,3.0,9.92,0.021798,0.771429
81,86.87,2.8,10.19,0.021798,0.7
82,86.72,2.7,10.44,0.021798,0.557143
83,86.65,2.53,10.68,0.021798,0.6
84,86.49,2.42,10.95,0.021798,0.55
85,86.37,2.39,11.1,0.021798,0.8
86,86.24,2.34,11.28,0.021798,0.733333
87,86.16,2.18,11.52,0.021798,0.516667
88,86.04,2.12,11.7,0.021798,0.7
89,85.94,2.01,11.91,0.021798,0.75
90,85.85,1.84,12.17,0.021798,0.6
91,85.8,1.7,12.36,0.021798,0.225
92,85.71,1.62,12.53,0.021798,0.45
93,85.66,1.52,12.68,0.021798,0.266667
94,85.65,1.41,12.8,0.021798,0.2
95,85.61,1.27,12.98,0.021798,0.45
96,85.55,1.24,13.07,0.021798,0.5
97,85.49,1.16,13.21,0.021798,0.533333
98,85.46,1.04,13.36,0.021798,0.2
99,85.43,0.94,13.49,0.021798,0.4
100,85.37,0.9,13.59,0.021798,0.65
101,85.35,0.77,13.74,0.021798,0.0
102,85.3,0.75,13.81,0.021798,0.233333
103,85.23,0.76,13.86,0.023355,0.433333
104,85.16,0.75,13.93,0.024912,0.483333
105,85.12,0.71,14.01,0.024912,0.3
106,85.06,0.69,14.09,0.024912,0.55
107,85.04,0.67,14.13,0.024912,0.0
108,85.0,0.67,14.17,0.024912,0.5
109,84.97,0.64,14.23,0.024912,0.0
110,84.96,0.64,14.24,0.024912,0.2
111,84.89,0.67,14.28,0.024912,0.75
112,84.86,0.62,14.36,0.024912,0.4
113,84.85,0.58,14.41,0.024912,0.2
114,84.83,0.56,14.44,0.026469,0.0
115,84.81,0.53,14.49,0.026469,0.4
116,84.81,0.45,14.57,0.026469,0.0
117,84.78,0.47,14.58,0.026469,0.25
118,84.75,0.48,14.6,0.026469,0.3
119,84.74,0.45,14.64,0.026469,0.2
120,84.73,0.4,14.7,0.026469,0.0
121,84.69,0.41,14.73,0.026469,0.6
122,84.68,0.34,14.81,0.026469,0.0
123,84.63,0.35,14.85,0.026469,0.45
124,84.61,0.33,14.89,0.026469,0.0
125,84.6,0.33,14.9,0.026469,0.2
126,84.59,0.32,14.92,0.026469,0.2
127,84.57,0.29,14.97,0.026469,0.2
128,84.54,0.3,14.99,0.026469,0.0
129,84.53,0.31,14.99,0.026469,0.0
130,84.53,0.29,15.01,0.026469,0.0
131,84.52,0.29,15.02,0.026469,0.2
132,84.5,0.3,15.03,0.026469,0.3
133,84.49,0.3,15.04,0.026469,0.2
134,84.49,0.26,15.08,0.026469,0.0
135,84.49,0.21,15.13,0.026469,0.0
136,84.48,0.19,15.16,0.026469,0.2
137,84.48,0.18,15.17,0.026469,0.0
138,84.48,0.15,15.2,0.026469,0.0
139,84.46,0.15,15.22,0.026469,0.2
140,84.46,0.13,15.24,0.026469,0.0
141,84.44,0.13,15.26,0.026469,0.2
142,84.44,0.12,15.27,0.026469,0.0
143,84.44,0.11,15.28,0.026469,0.0
144,84.44,0.09,15.3,0.026469,0.0
145,84.44,0.08,15.31,0.026469,0.0
146,84.44,0.06,15.33,0.026469,0.0
147,84.44,0.05,15.34,0.026469,0.0
148,84.44,0.05,15.34,0.026469,0.0
149,84.44,0.05,15.34,0.026469,0.0
150,84.43,0.06,15.34,0.026469,0.2
151,84.43,0.04,15.36,0.026469,0.0
152,84.43,0.04,15.36,0.026469,0.0
153,84.43,0.02,15.38,0.026469,0.0
154,84.43,0.02,15.38,0.026469,0.0
155,84.43,0.02,15.38,0.026469,0.0
156,84.43,0.01,15.38,0.028026,0.0
157,84.43,0.01,15.38,0.028026,0.0
158,84.43,0.01,15.38,0.028026,0.0
159,84.43,0.01,15.38,0.028026,0.0
160,84.43,0.01,15.38,0.028026,0.0
161,84.43,0.01,15.38,0.028026,0.0
162,84.43,0.0,15.39,0.028026,0.0
163,84.43,0.0,15.39,0.028026,0.0
164,84.43,0.0,15.39,0.028026,0.0
165,84.43,0.0,15.39,0.028026,0.0
166,84.43,0.0,15.39,0.028026,0.0
167,84.43,0.0,15.39,0.028026,0.0
168,84.43,0.0,15.39,0.028026,0.0
169,84.43,0.0,15.39,0.028026,0.0
170,84.43,0.0,15.39,0.028026,0.0
171,84.43,0.0,15.39,0.028026,0.0
172,84.43,0.0,15.39,0.028026,0.0
173,84.43,0.0,15.39,0.028026,0.0
174,84.43,0.0,15.39,0.028026,0.0
175,84.43,0.0,15.39,0.028026,0.0
176,84.43,0.0,15.39,0.028026,0.0
177,84.43,0.0,15.39,0.028026,0.0
178,84.43,0.0,15.39,0.028026,0.0
179,84.43,0.0,15.39,0.028026,0.0
180,84.43,0.0,15.39,0.028026,0.0
